player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
David Ferrer,999.0,0.0,0.6229508196721312,0.6,0.5,2.736842105263158,0.6390241900956187,0.5021625487086013,0.4077970418582438,77,,,,
Andy Murray,999.0,0.0,0.6731517509727627,0.4,0.631578947368421,7.127167630057803,0.63023548500111,0.4768924337956358,0.39838117578829113,79,,,,
John Isner,999.0,0.0,0.5816326530612245,0.5,0.625,20.86549707602339,0.7628359671042598,0.4184994978408152,0.39822493651255986,80,,,,
Borna Gojo,999.0,0.0,0.5135135135135135,0.5,0.75,9.789473684210526,0.7061011904761905,0.43986090448938747,0.39817648312665727,81,,,,
Hyeon Chung,999.0,0.0,0.5565217391304348,0.5,0.5555555555555556,4.71875,0.6808207265444107,0.4911069938737378,0.38106015413684946,86,,,,
Kevin Anderson,999.0,0.0,0.5970873786407767,0.3,0.7272727272727273,15.357723577235772,0.7081489529943138,0.44146564817296524,0.3758434838094672,88,,,,
Dominic Stricker,999.0,0.0,0.5161290322580645,0.5,0.6,10.3125,0.7366666666666667,0.38485264735264735,0.3751082237654818,89,,,,
Tomas Berdych,999.0,0.0,0.6625766871165644,0.3,0.5714285714285714,8.74074074074074,0.6642564033189033,0.5176962183906628,0.3704560885789051,91,,,,
Marsel Ilhan,999.0,0.0,0.5454545454545454,0.5,0.5,8.666666666666666,0.6720328282828283,0.49132326007326005,0.36953144078144073,92,,,,
Gilles Simon,999.0,0.0,0.5263157894736842,0.6,0.4,4.327272727272727,0.6108535389503397,0.5108570105783545,0.36766447484485576,93,,,,
Ricardas Berankis,999.0,0.0,0.49645390070921985,0.6,0.4166666666666667,4.6,0.7123098916009364,0.4958361271143226,0.36702077611306794,94,,,,
Daniel Evans,999.0,0.0,0.5162790697674419,0.4,0.6666666666666666,4.873873873873874,0.6454246135237753,0.5039635075339747,0.36653917349474796,96,,,,
Lucas Pouille,999.0,0.0,0.532051282051282,0.4,0.625,10.048192771084338,0.7079324335794924,0.48504799118305775,0.36641184175094804,97,,,,
Jo-Wilfried Tsonga,999.0,0.0,0.6459627329192547,0.2,0.6923076923076923,11.673076923076923,0.7136488181131038,0.4494350202117192,0.36349102899220864,99,,,,
Nicolas Mahut,999.0,0.0,0.4473684210526316,0.5,0.6,7.676470588235294,0.73310057997558,0.49116218748571694,0.36305524363622277,100,,,,
Emil Ruusuvuori,999.0,0.0,0.5666666666666667,0.5,0.4,5.364705882352941,0.6457854843795919,0.5203837241190182,0.3599751270915971,101,,,,
Jordan Thompson,999.0,0.0,0.4897959183673469,0.5,0.5263157894736842,7.510416666666667,0.6919143903853129,0.45839712918660286,0.3589119239914852,102,,,,
Alexandr Dolgopolov,999.0,0.0,0.4888888888888889,0.5,0.5,8.0,0.6181906288156288,0.5243396773309875,0.35434873752955304,103,,,,
Borna Coric,999.0,0.0,0.5287356321839081,0.4,0.55,6.8768115942028984,0.669746593276005,0.49177627153153125,0.35276005128635385,104,,,,
Vasek Pospisil,999.0,0.0,0.46835443037974683,0.5,0.5,11.162162162162161,0.7436179981634528,0.4667956292956293,0.3526092889678908,105,,,,
Dimitar Kuzmanov,999.0,0.0,0.4444444444444444,0.5,0.5,4.583333333333333,0.7934609250398723,0.5329034391534392,0.3524293293207767,106,,,,
Roman Safiullin,999.0,0.0,0.4657534246575342,0.5,0.5,7.852941176470588,0.7198572900053163,0.4774749760043878,0.3513049694648688,107,,,,
Dominic Thiem,999.0,0.0,0.5961538461538461,0.2,0.7142857142857143,7.012903225806451,0.6440582342616841,0.4528110513164943,0.3510247829602276,108,,,,
Marcos Baghdatis,999.0,0.0,0.5535714285714286,0.4,0.5,8.483870967741936,0.6415889187440912,0.5075724528590422,0.35085092572301385,109,,,,
Lloyd Harris,999.0,0.0,0.5344827586206896,0.3,0.5454545454545454,12.46774193548387,0.679009879009879,0.5426988952961439,0.33652431018865536,111,,,,
Michael Mmoh,999.0,0.0,0.43859649122807015,0.5,0.42857142857142855,6.56,0.6337311022311023,0.6126438006438006,0.33625358223647694,112,,,,
Jeremy Chardy,999.0,0.0,0.5087719298245614,0.4,0.46153846153846156,9.057471264367816,0.6904749369115886,0.49155674466891974,0.33552533576593496,114,,,,
Jurgen Melzer,999.0,0.0,0.4,0.5,0.5,6.625,0.7594988344988345,0.44160714285714286,0.33505529886779895,115,,,,
Jack Sock,999.0,0.0,0.5604395604395604,0.3,0.5,7.215686274509804,0.698296956401352,0.4775889987188764,0.33390418786590154,116,,,,
Philipp Kohlschreiber,999.0,0.0,0.5138888888888888,0.3,0.5625,6.081081081081081,0.7343234757633353,0.4778971470147941,0.33345825336112866,117,,,,
Austin Krajicek,999.0,0.0,0.4074074074074074,0.5,0.5,12.0,0.6466666666666667,0.45023940705758886,0.3316971555380646,118,,,,
Sergiy Stakhovsky,999.0,0.0,0.4084507042253521,0.4,0.6,9.310344827586206,0.7526664936752655,0.43767477732994975,0.3316297396065988,119,,,,
Emilio Gomez,999.0,0.0,0.36666666666666664,0.5,0.5,6.181818181818182,0.7375541125541125,0.4878197560015742,0.327935360094451,120,,,,
Illya Marchenko,999.0,0.0,0.42857142857142855,0.3,0.6666666666666666,6.25,0.7040885040885041,0.49333624465203413,0.327014094579884,121,,,,
Jared Donaldson,999.0,0.0,0.4634146341463415,0.4,0.5,6.921052631578948,0.5798733129615483,0.4988533110672699,0.3247899897380263,122,,,,
John Millman,999.0,0.0,0.47802197802197804,0.4,0.4666666666666667,5.183908045977011,0.5916762287244215,0.48917833537509,0.3235482227104701,124,,,,
Ilya Ivashka,999.0,0.0,0.5172413793103449,0.3,0.5,6.8,0.6603654731013222,0.49507795445295444,0.32208251620530004,125,,,,
Otto Virtanen,999.0,0.0,0.45,0.5,0.3333333333333333,10.0,0.8166666666666667,0.37211199294532626,0.32193893298059967,126,,,,
Dominik Koepfer,999.0,0.0,0.4675324675324675,0.4,0.4444444444444444,5.972222222222222,0.673019649036085,0.43131097297763965,0.3187663146504698,127,,,,
Christopher Oconnell,999.0,0.0,0.4146341463414634,0.4,0.5,9.823529411764707,0.7577559188613955,0.43237902524234706,0.318165283790553,128,,,,
Bernard Tomic,999.0,0.0,0.5546218487394958,0.3,0.4,10.712121212121213,0.7130002511150052,0.47011524571685,0.3178112370264667,129,,,,
Viktor Durasovic,999.0,0.0,0.3333333333333333,0.5,0.5,6.0,0.7459415584415584,0.43553364527629235,0.3174070935192259,130,,,,
Feliciano Lopez,999.0,0.0,0.45454545454545453,0.3,0.5625,14.546666666666667,0.7453320092908193,0.42082943204833884,0.3163194357033215,131,,,,
Juncheng Shang,999.0,0.0,0.49019607843137253,0.2,0.6666666666666666,4.12,0.6619314260618608,0.4097143118319589,0.31613130650253407,132,,,,
Alex Bolt,999.0,0.0,0.37142857142857144,0.5,0.5,7.769230769230769,0.48686868686868684,0.4716394716394717,0.3157825507825508,134,,,,
