player,hard_wins,hard_losses,hard_total,hard_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,avg_1st_pct,recent_form_pct,uso_wins,uso_win_pct,atp_rank,atp_points,rank_score,uso_score,power_rank
Gilles Simon,110.0,99.0,209.0,0.5263157894736842,4.327272727272727,2.172727272727273,0.5108570105783545,0.6108535389503397,0.5951233313727724,0.6,4.0,0.4,999.0,0.0,0.0,0.36766447484485576,93
Ricardas Berankis,70.0,71.0,141.0,0.49645390070921985,4.6,2.414285714285714,0.4958361271143226,0.7123098916009364,0.5973522957907628,0.6,5.0,0.4166666666666667,999.0,0.0,0.0,0.36702077611306794,94
Cristian Garin,33.0,51.0,84.0,0.39285714285714285,6.757575757575758,3.242424242424242,0.4738871397962307,0.6860663410663411,0.6309754207544964,0.5,4.0,0.5,113.0,554.0,0.11811023622047245,0.3666450306235561,95
Daniel Evans,111.0,104.0,215.0,0.5162790697674419,4.873873873873874,2.5945945945945947,0.5039635075339747,0.6454246135237753,0.6070831303620363,0.4,14.0,0.6666666666666666,999.0,0.0,0.0,0.36653917349474796,96
Lucas Pouille,83.0,73.0,156.0,0.532051282051282,10.048192771084338,3.5421686746987953,0.48504799118305775,0.7079324335794924,0.5783011735687275,0.4,10.0,0.625,999.0,0.0,0.0,0.36641184175094804,97
Jaume Munar,21.0,53.0,74.0,0.28378378378378377,5.619047619047619,3.0952380952380953,0.4137862137862138,0.6850027898341406,0.6618364949862859,0.1,1.0,0.14285714285714285,44.0,1105.0,0.6614173228346456,0.36573916440592874,98
Jo-Wilfried Tsonga,104.0,57.0,161.0,0.6459627329192547,11.673076923076923,2.605769230769231,0.4494350202117192,0.7136488181131038,0.6099781541774134,0.2,9.0,0.6923076923076923,999.0,0.0,0.0,0.36349102899220864,99
Nicolas Mahut,34.0,42.0,76.0,0.4473684210526316,7.676470588235294,2.411764705882353,0.49116218748571694,0.73310057997558,0.6139386509514554,0.5,6.0,0.6,999.0,0.0,0.0,0.36305524363622277,100
Emil Ruusuvuori,85.0,65.0,150.0,0.5666666666666667,5.364705882352941,2.5647058823529414,0.5203837241190182,0.6457854843795919,0.6449889498370441,0.5,2.0,0.4,999.0,0.0,0.0,0.3599751270915971,101
Jordan Thompson,96.0,100.0,196.0,0.4897959183673469,7.510416666666667,1.4270833333333333,0.45839712918660286,0.6919143903853129,0.635799237699146,0.5,10.0,0.5263157894736842,999.0,0.0,0.0,0.3589119239914852,102
Alexandr Dolgopolov,44.0,46.0,90.0,0.4888888888888889,8.0,2.590909090909091,0.5243396773309875,0.6181906288156288,0.579685284324134,0.5,3.0,0.5,999.0,0.0,0.0,0.35434873752955304,103
Borna Coric,138.0,123.0,261.0,0.5287356321839081,6.8768115942028984,2.13768115942029,0.49177627153153125,0.669746593276005,0.6227086352438242,0.4,11.0,0.55,999.0,0.0,0.0,0.35276005128635385,104
Vasek Pospisil,74.0,84.0,158.0,0.46835443037974683,11.162162162162161,3.2027027027027026,0.4667956292956293,0.7436179981634528,0.5973981584412502,0.5,7.0,0.5,999.0,0.0,0.0,0.3526092889678908,105
Dimitar Kuzmanov,12.0,15.0,27.0,0.4444444444444444,4.583333333333333,1.9166666666666667,0.5329034391534392,0.7934609250398723,0.6418907112030635,0.5,,0.5,999.0,0.0,0.0,0.3524293293207767,106
Roman Safiullin,34.0,39.0,73.0,0.4657534246575342,7.852941176470588,2.8529411764705883,0.4774749760043878,0.7198572900053163,0.6242968248770838,0.5,2.0,0.5,999.0,0.0,0.0,0.3513049694648688,107
Dominic Thiem,155.0,105.0,260.0,0.5961538461538461,7.012903225806451,2.567741935483871,0.4528110513164943,0.6440582342616841,0.6149291660451196,0.2,20.0,0.7142857142857143,999.0,0.0,0.0,0.3510247829602276,108
Marcos Baghdatis,62.0,50.0,112.0,0.5535714285714286,8.483870967741936,3.403225806451613,0.5075724528590422,0.6415889187440912,0.5444950988054852,0.4,4.0,0.5,999.0,0.0,0.0,0.35085092572301385,109
Aleksandar Vukic,27.0,36.0,63.0,0.42857142857142855,10.555555555555555,1.7037037037037037,0.4724400085511196,0.5695932539682539,0.6015773853490524,0.6,0.0,0.0,100.0,626.0,0.22047244094488194,0.3453862525522904,110
Lloyd Harris,62.0,54.0,116.0,0.5344827586206896,12.46774193548387,2.403225806451613,0.5426988952961439,0.679009879009879,0.6422850174459128,0.3,6.0,0.5454545454545454,999.0,0.0,0.0,0.33652431018865536,111
Michael Mmoh,25.0,32.0,57.0,0.43859649122807015,6.56,3.84,0.6126438006438006,0.6337311022311023,0.6684865937125156,0.5,3.0,0.42857142857142855,999.0,0.0,0.0,0.33625358223647694,112
Daniel Altmaier,15.0,38.0,53.0,0.2830188679245283,7.933333333333334,1.9333333333333333,0.544074074074074,0.7722222222222221,0.6527885881137468,0.3,1.0,0.25,85.0,740.0,0.3385826771653543,0.3356443349455531,113
Jeremy Chardy,87.0,84.0,171.0,0.5087719298245614,9.057471264367816,4.0344827586206895,0.49155674466891974,0.6904749369115886,0.6261628125221037,0.4,6.0,0.46153846153846156,999.0,0.0,0.0,0.33552533576593496,114
Jurgen Melzer,8.0,12.0,20.0,0.4,6.625,4.625,0.44160714285714286,0.7594988344988345,0.6566184279681047,0.5,1.0,0.5,999.0,0.0,0.0,0.33505529886779895,115
Jack Sock,102.0,80.0,182.0,0.5604395604395604,7.215686274509804,4.029411764705882,0.4775889987188764,0.698296956401352,0.5968244550900877,0.3,8.0,0.5,999.0,0.0,0.0,0.33390418786590154,116
Philipp Kohlschreiber,74.0,70.0,144.0,0.5138888888888888,6.081081081081081,2.0675675675675675,0.4778971470147941,0.7343234757633353,0.6147635769909529,0.3,9.0,0.5625,999.0,0.0,0.0,0.33345825336112866,117
Austin Krajicek,11.0,16.0,27.0,0.4074074074074074,12.0,3.1818181818181817,0.45023940705758886,0.6466666666666667,0.6032276499688286,0.5,1.0,0.5,999.0,0.0,0.0,0.3316971555380646,118
Sergiy Stakhovsky,29.0,42.0,71.0,0.4084507042253521,9.310344827586206,2.793103448275862,0.43767477732994975,0.7526664936752655,0.6081068824073717,0.4,3.0,0.6,999.0,0.0,0.0,0.3316297396065988,119
